"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Form elements interactions check","","0","0","1","0","0"
"","Login functionality check","","0","0","1","0","0"
"","Swipe functionality check","","0","0","1","0","0"
"","Drag and drop functionality check","","0","0","1","0","0"
"","Register functionality check","","0","0","1","0","0"
