"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 19:52:42 UTC 2023","Mon Dec 25 19:52:50 UTC 2023","7977","","Login functionality check","","","","should login with valid credentials",""
"passed","Mon Dec 25 19:52:43 UTC 2023","Mon Dec 25 19:52:54 UTC 2023","11423","","Register functionality check","","","","should register with valid credentials",""
"passed","Mon Dec 25 19:52:48 UTC 2023","Mon Dec 25 19:53:13 UTC 2023","24506","","Drag and drop functionality check","","","","should solve the puzzle by dragging the pieces into the puzzle",""
"passed","Mon Dec 25 19:52:42 UTC 2023","Mon Dec 25 19:52:48 UTC 2023","5341","","Form elements interactions check","","","","should turn the switch on and off",""
"passed","Mon Dec 25 19:52:41 UTC 2023","Mon Dec 25 19:52:49 UTC 2023","8157","","Swipe functionality check","","","","should swipe vertical to find the surprise",""
